"행정구역(시군구)별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명)
"행정구역(시군구)별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전국",51529338,201422,0.4,25758186,88890,0.3,25771152,112532,0.4,51696216,166878,0.3,25827594,69408,0.3,25868622,97470,0.4,51778544,82328,0.2,25855919,28325,0.1,25922625,54003,0.2,51826059,47515,0.1,25866129,10210,0.0,25959930,37305,0.1,51849861,23802,0.0,25864816,-1313,0.0,25985045,25115,0.1,51829023,-20838,0.0,25841029,-23787,-0.1,25987994,2949,0.0,51638809,-190214,-0.4,25746684,-94345,-0.4,25892125,-95869,-0.4,51439038,-199771,-0.4,25636951,-109733,-0.4,25802087,-90038,-0.3
"서울특별시",10022181,-81052,-0.8,4930943,-48825,-1.0,5091238,-32227,-0.6,9930616,-91565,-0.9,4876789,-54154,-1.1,5053827,-37411,-0.7,9857426,-73190,-0.7,4830206,-46583,-1.0,5027220,-26607,-0.5,9765623,-91803,-0.9,4773899,-56307,-1.2,4991724,-35496,-0.7,9729107,-36516,-0.4,4744059,-29840,-0.6,4985048,-6676,-0.1,9668465,-60642,-0.6,4701723,-42336,-0.9,4966742,-18306,-0.4,9509458,-159007,-1.6,4618040,-83683,-1.8,4891418,-75324,-1.5,9428372,-81086,-0.9,4570048,-47992,-1.0,4858324,-33094,-0.7
"부산광역시",3513777,-5624,-0.2,1735570,-4847,-0.3,1778207,-777,0.0,3498529,-15248,-0.4,1725607,-9963,-0.6,1772922,-5285,-0.3,3470653,-27876,-0.8,1709508,-16099,-0.9,1761145,-11777,-0.7,3441453,-29200,-0.8,1692421,-17087,-1.0,1749032,-12113,-0.7,3413841,-27612,-0.8,1675417,-17004,-1.0,1738424,-10608,-0.6,3391946,-21895,-0.6,1661000,-14417,-0.9,1730946,-7478,-0.4,3350380,-41566,-1.2,1639044,-21956,-1.3,1711336,-19610,-1.1,3317812,-32568,-1.0,1619915,-19129,-1.2,1697897,-13439,-0.8
"대구광역시",2487829,-5435,-0.2,1237291,-3828,-0.3,1250538,-1607,-0.1,2484557,-3272,-0.1,1234169,-3122,-0.3,1250388,-150,0.0,2475231,-9326,-0.4,1227814,-6355,-0.5,1247417,-2971,-0.2,2461769,-13462,-0.5,1219342,-8472,-0.7,1242427,-4990,-0.4,2438031,-23738,-1.0,1205286,-14056,-1.2,1232745,-9682,-0.8,2418346,-19685,-0.8,1193109,-12177,-1.0,1225237,-7508,-0.6,2385412,-32934,-1.4,1175632,-17477,-1.5,1209780,-15457,-1.3,2363691,-21721,-0.9,1162865,-12767,-1.1,1200826,-8954,-0.7
"인천광역시",2925815,23207,0.8,1469869,10795,0.7,1455946,12412,0.9,2943069,17254,0.6,1477671,7802,0.5,1465398,9452,0.6,2948542,5473,0.2,1479597,1926,0.1,1468945,3547,0.2,2954642,6100,0.2,1481844,2247,0.2,1472798,3853,0.3,2957026,2384,0.1,1482249,405,0.0,1474777,1979,0.1,2942828,-14198,-0.5,1473943,-8306,-0.6,1468885,-5892,-0.4,2948375,5547,0.2,1476373,2430,0.2,1472002,3117,0.2,2967314,18939,0.6,1485175,8802,0.6,1482139,10137,0.7
"광주광역시",1472199,-3685,-0.2,729662,-1677,-0.2,742537,-2008,-0.3,1469214,-2985,-0.2,728137,-1525,-0.2,741077,-1460,-0.2,1463770,-5444,-0.4,725295,-2842,-0.4,738475,-2602,-0.4,1459336,-4434,-0.3,722581,-2714,-0.4,736755,-1720,-0.2,1456468,-2868,-0.2,720740,-1841,-0.3,735728,-1027,-0.1,1450062,-6406,-0.4,717348,-3392,-0.5,732714,-3014,-0.4,1441611,-8451,-0.6,713015,-4333,-0.6,728596,-4118,-0.6,1431050,-10561,-0.7,707299,-5716,-0.8,723751,-4845,-0.7
"대전광역시",1518775,-13034,-0.9,759778,-6719,-0.9,758997,-6315,-0.8,1514370,-4405,-0.3,757289,-2489,-0.3,757081,-1916,-0.3,1502227,-12143,-0.8,750969,-6320,-0.8,751258,-5823,-0.8,1489936,-12291,-0.8,744338,-6631,-0.9,745598,-5660,-0.8,1474870,-15066,-1.0,736607,-7731,-1.0,738263,-7335,-1.0,1463882,-10988,-0.7,730699,-5908,-0.8,733183,-5080,-0.7,1452251,-11631,-0.8,724626,-6073,-0.8,727625,-5558,-0.8,1446072,-6179,-0.4,721245,-3381,-0.5,724827,-2798,-0.4
