"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
"시점",순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%),순이동률(%)
"2022",0.0,-0.4,-0.4,-0.5,1.0,-0.5,-0.2,-0.9,2.7,0.3,0.5,0.3,0.7,-0.3,0.0,-0.3,-0.6,0.5
"2021",0.0,-1.1,-0.6,-1.0,0.4,-0.4,-0.6,-1.2,3.9,1.1,0.4,0.2,0.4,-0.3,-0.2,0.1,-0.4,0.6
"2020",0.0,-0.7,-0.4,-0.7,-0.5,-0.4,-0.8,-1.2,3.8,1.3,0.4,0.2,0.0,-0.5,-0.5,-0.6,-0.5,0.5
"2019",0.0,-0.5,-0.7,-1.0,-0.1,-0.3,-1.1,-0.9,7.3,1.0,0.1,0.2,0.0,-0.7,-0.5,-0.2,-0.3,0.4
"2018",0.0,-1.1,-0.8,-0.6,0.0,-0.4,-1.0,-1.1,10.6,1.3,-0.3,0.3,0.5,-0.8,-0.4,-0.3,-0.2,1.3
"2017",0.0,-1.0,-0.8,-0.5,-0.1,-0.6,-1.1,-1.0,13.3,0.9,0.1,0.1,0.9,-0.4,-0.2,-0.2,0.1,2.2
"2016",0.0,-1.4,-0.6,-0.4,0.2,-0.5,-0.7,-0.7,13.2,1.1,0.1,0.3,0.7,-0.2,-0.2,-0.1,0.1,2.3
"2015",0.0,-1.4,-0.4,-0.5,0.3,-0.6,-1.4,0.0,29.0,0.8,0.3,0.1,0.5,-0.2,0.2,0.0,0.2,2.3
"2014",0.0,-0.9,-0.4,-0.6,0.3,-0.2,-0.6,0.2,24.2,0.5,0.1,0.2,0.5,-0.1,0.0,0.0,0.2,1.9
"2013",0.0,-1.0,-0.5,-0.5,0.8,-0.2,0.0,0.2,7.4,0.6,0.2,0.2,0.7,-0.1,-0.1,-0.1,0.1,1.3
"2012",0.0,-1.0,-0.6,-0.4,1.0,-0.1,0.0,0.4,31.2,0.7,0.0,0.3,0.5,-0.2,-0.3,-0.2,-0.1,0.8
