"시점",전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
"시점",총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%),총전출률(%)
"2022",12.0,13.2,12.0,11.7,12.5,13.3,14.0,10.5,14.7,11.9,12.2,11.3,11.6,11.5,10.6,10.4,10.4,12.4
"2021",14.1,16.1,13.8,13.8,14.4,15.2,15.2,12.8,17.3,14.1,13.7,13.2,13.0,12.8,12.4,12.0,11.7,13.6
"2020",15.1,17.2,15.0,15.1,15.8,16.1,16.7,13.2,19.0,15.0,14.3,14.2,13.6,14.3,13.5,12.7,12.6,14.2
"2019",13.8,15.4,12.8,13.8,14.4,15.3,15.5,13.3,18.0,13.8,14.1,13.1,12.3,13.3,12.5,11.7,12.1,13.9
"2018",14.2,16.1,13.0,13.7,14.8,15.5,15.3,12.2,18.6,14.6,14.4,13.5,13.4,14.0,12.4,11.9,11.8,14.5
"2017",14.0,16.2,13.6,13.5,14.1,14.8,15.2,12.7,18.2,14.0,13.6,12.3,12.9,13.0,12.2,11.8,12.2,14.1
"2016",14.4,16.9,13.9,13.7,15.0,15.1,15.3,13.4,15.6,14.6,14.4,12.5,13.1,13.6,12.5,11.9,12.3,14.7
"2015",15.2,17.4,15.0,14.7,16.1,16.0,15.9,14.7,16.9,15.4,14.5,13.6,13.6,14.2,13.0,12.9,13.5,13.6
"2014",15.0,16.7,14.4,14.8,15.5,16.8,16.3,15.0,16.7,15.0,14.8,13.6,13.7,14.9,13.8,12.6,13.7,13.7
"2013",14.7,16.2,14.2,14.6,15.5,15.7,15.2,13.7,12.9,15.1,14.1,13.7,13.2,14.0,13.0,12.3,12.8,13.9
"2012",14.9,16.5,13.7,14.5,15.8,15.8,15.9,13.9,27.2,15.6,14.8,13.4,13.5,14.8,12.9,12.7,12.7,13.0
