Year,Region,Death_rate,Divorce_rate,Marriage_rate,Natural_growth_rate,Is_Capital,Is_bigcity,1인당 개인소득
2000,Busan,5.8,2.5,7.5,5.8,False,True,15013.341463414634
2000,Busan,4.8,2.7,6.8,7.2,False,True,15013.341463414634
2000,Busan,5.0,2.8,6.3,7.2,False,True,15013.341463414634
2000,Busan,4.9,2.3,5.5,6.2,False,True,15013.341463414634
2000,Busan,4.4,2.7,7.7,6.5,False,True,15013.341463414634
2000,Busan,4.3,2.8,6.9,5.1,False,True,15013.341463414634
2000,Busan,4.3,2.7,4.5,5.3,False,True,15013.341463414634
2000,Busan,4.4,2.8,4.1,5.9,False,True,15013.341463414634
2000,Busan,4.7,2.6,3.4,6.4,False,True,15013.341463414634
2000,Busan,5.1,2.8,5.5,6.0,False,True,15013.341463414634
2000,Busan,5.2,2.7,7.3,5.7,False,True,15013.341463414634
2000,Busan,4.9,2.5,7.9,5.0,False,True,15013.341463414634
2001,Busan,5.1,2.5,6.4,5.5,False,True,15013.341463414634
2001,Busan,5.4,3.2,6.5,5.5,False,True,15013.341463414634
2001,Busan,5.3,3.0,5.3,6.0,False,True,15013.341463414634
2001,Busan,5.0,2.6,6.2,5.0,False,True,15013.341463414634
2001,Busan,4.7,2.7,7.3,4.8,False,True,15013.341463414634
2001,Busan,4.7,2.6,6.2,3.9,False,True,15013.341463414634
2001,Busan,4.6,2.8,4.1,3.8,False,True,15013.341463414634
2001,Busan,4.6,2.9,4.4,4.3,False,True,15013.341463414634
2001,Busan,4.7,2.6,3.7,4.8,False,True,15013.341463414634
2001,Busan,4.7,2.8,4.2,4.5,False,True,15013.341463414634
2001,Busan,4.9,3.0,6.7,3.9,False,True,15013.341463414634
2001,Busan,4.8,2.6,8.2,3.4,False,True,15013.341463414634
2002,Busan,5.0,3.0,6.9,4.0,False,True,9330.0
2002,Busan,4.9,2.8,5.6,4.3,False,True,9330.0
2002,Busan,4.9,3.1,5.6,4.2,False,True,9330.0
2002,Busan,5.0,3.1,5.0,4.0,False,True,9330.0
2002,Busan,4.8,3.3,6.8,3.4,False,True,9330.0
2002,Busan,4.5,2.9,5.9,3.1,False,True,9330.0
2002,Busan,4.7,3.2,4.5,3.1,False,True,9330.0
2002,Busan,4.8,3.7,4.1,3.0,False,True,9330.0
2002,Busan,4.8,3.1,3.6,3.4,False,True,9330.0
2002,Busan,5.0,3.6,4.5,2.6,False,True,9330.0
2002,Busan,5.6,3.4,6.4,1.8,False,True,9330.0
2002,Busan,5.7,3.4,7.8,1.7,False,True,9330.0
2003,Busan,5.4,3.4,6.1,3.1,False,True,9685.0
2003,Busan,5.2,2.3,5.8,3.6,False,True,9685.0
2003,Busan,5.0,3.8,4.8,3.8,False,True,9685.0
2003,Busan,4.8,2.3,5.1,4.1,False,True,9685.0
2003,Busan,5.0,2.3,6.5,2.9,False,True,9685.0
2003,Busan,4.6,2.3,5.7,2.7,False,True,9685.0
2003,Busan,4.6,2.3,4.6,2.6,False,True,9685.0
2003,Busan,4.8,2.3,3.9,2.4,False,True,9685.0
2003,Busan,4.8,3.6,3.4,3.5,False,True,9685.0
2003,Busan,5.2,2.3,5.3,3.4,False,True,9685.0
2003,Busan,5.1,3.3,6.2,3.2,False,True,9685.0
2003,Busan,5.5,3.4,7.5,2.3,False,True,9685.0
2004,Busan,5.1,2.9,5.9,3.2,False,True,10164.0
2004,Busan,5.6,3.8,5.8,2.5,False,True,10164.0
2004,Busan,5.3,3.4,5.3,3.6,False,True,10164.0
2004,Busan,5.3,3.0,4.3,2.7,False,True,10164.0
2004,Busan,5.1,2.9,5.5,2.5,False,True,10164.0
2004,Busan,4.9,3.2,5.8,2.2,False,True,10164.0
2004,Busan,5.0,2.9,4.5,2.2,False,True,10164.0
2004,Busan,4.7,3.0,4.5,2.5,False,True,10164.0
2004,Busan,4.9,2.5,3.3,3.0,False,True,10164.0
2004,Busan,5.2,3.2,4.5,2.4,False,True,10164.0
2004,Busan,4.9,3.3,6.2,2.5,False,True,10164.0
2004,Busan,5.2,2.7,9.4,1.8,False,True,10164.0
2005,Busan,5.4,2.5,5.2,2.2,False,True,10695.0
2005,Busan,5.2,2.7,5.1,2.3,False,True,10695.0
2005,Busan,5.4,2.9,5.2,2.5,False,True,10695.0
2005,Busan,5.2,2.7,4.4,1.7,False,True,10695.0
2005,Busan,5.3,2.6,5.7,1.6,False,True,10695.0
2005,Busan,4.8,2.8,5.5,2.0,False,True,10695.0
2005,Busan,4.6,2.7,4.1,1.5,False,True,10695.0
2005,Busan,4.9,2.9,4.8,2.1,False,True,10695.0
2005,Busan,4.9,2.8,3.6,2.5,False,True,10695.0
2005,Busan,5.3,2.7,4.4,1.7,False,True,10695.0
2005,Busan,5.4,2.6,6.2,1.5,False,True,10695.0
2005,Busan,5.6,2.5,8.0,0.9,False,True,10695.0
2006,Busan,5.7,2.6,5.5,1.7,False,True,11323.0
2006,Busan,5.4,2.8,5.1,2.5,False,True,11323.0
2006,Busan,5.4,2.8,5.2,2.1,False,True,11323.0
2006,Busan,5.3,2.3,4.7,2.0,False,True,11323.0
2006,Busan,5.2,2.6,6.3,1.9,False,True,11323.0
2006,Busan,4.8,2.6,6.0,2.0,False,True,11323.0
2006,Busan,4.7,2.7,4.2,1.6,False,True,11323.0
2006,Busan,5.0,1.8,5.1,2.0,False,True,11323.0
2006,Busan,5.0,2.3,3.7,2.3,False,True,11323.0
2006,Busan,5.2,2.2,4.2,2.3,False,True,11323.0
2006,Busan,5.4,2.7,6.8,1.7,False,True,11323.0
2006,Busan,5.6,2.3,9.3,0.7,False,True,11323.0
2007,Busan,5.8,2.3,7.2,2.1,False,True,11855.0
2007,Busan,5.8,2.4,6.8,2.1,False,True,11855.0
2007,Busan,5.4,2.4,5.7,2.6,False,True,11855.0
2007,Busan,5.3,2.6,5.1,2.3,False,True,11855.0
2007,Busan,5.2,2.6,6.2,2.3,False,True,11855.0
2007,Busan,5.0,2.2,6.0,2.1,False,True,11855.0
2007,Busan,4.9,2.4,4.9,2.4,False,True,11855.0
2007,Busan,4.9,2.5,5.6,3.4,False,True,11855.0
2007,Busan,5.0,2.1,3.4,3.9,False,True,11855.0
2007,Busan,5.5,2.5,5.1,3.3,False,True,11855.0
2007,Busan,5.3,2.6,7.2,3.1,False,True,11855.0
2007,Busan,5.8,2.5,8.3,1.2,False,True,11855.0
2008,Busan,5.7,2.3,6.3,3.0,False,True,12699.0
2008,Busan,5.8,2.5,5.8,1.8,False,True,12699.0
2008,Busan,5.8,2.2,5.5,2.0,False,True,12699.0
2008,Busan,5.3,2.4,5.2,2.2,False,True,12699.0
2008,Busan,5.4,2.3,6.3,1.6,False,True,12699.0
2008,Busan,5.2,2.3,5.9,1.4,False,True,12699.0
2008,Busan,5.0,2.3,5.0,2.2,False,True,12699.0
2008,Busan,4.8,1.6,4.8,2.5,False,True,12699.0
2008,Busan,5.2,1.6,4.0,2.5,False,True,12699.0
2008,Busan,5.5,2.1,5.2,2.1,False,True,12699.0
2008,Busan,5.6,2.3,5.5,1.9,False,True,12699.0
2008,Busan,5.6,2.5,7.9,1.1,False,True,12699.0
2009,Busan,5.7,2.3,6.3,2.2,False,True,12993.0
2009,Busan,5.2,2.6,5.3,2.5,False,True,12993.0
2009,Busan,5.3,2.5,4.9,2.0,False,True,12993.0
2009,Busan,5.7,2.3,4.8,1.4,False,True,12993.0
2009,Busan,5.2,2.3,5.9,1.7,False,True,12993.0
2009,Busan,5.0,2.7,5.4,1.6,False,True,12993.0
2009,Busan,5.2,2.5,4.2,1.6,False,True,12993.0
2009,Busan,5.1,2.2,5.0,1.9,False,True,12993.0
