Year,Region,1인당 개인소득
2002,Whole country,9820
2003,Whole country,10389
2004,Whole country,11063
2005,Whole country,11551
2006,Whole country,12058
2007,Whole country,12636
2008,Whole country,13425
2009,Whole country,13811
2010,Whole country,14558
2011,Whole country,15137
2012,Whole country,15711
2013,Whole country,16432
2014,Whole country,17006
2015,Whole country,18063
2016,Whole country,18520
2017,Whole country,19204
2018,Whole country,19910
2019,Whole country,20661
2020,Whole country,21342
2021,Whole country,22059
2022,Whole country,23388
2002,Seoul,11463
2003,Seoul,12285
2004,Seoul,13044
2005,Seoul,13525
2006,Seoul,14008
2007,Seoul,15023
2008,Seoul,15783
2009,Seoul,16080
2010,Seoul,17277
2011,Seoul,18252
2012,Seoul,18795
2013,Seoul,19525
2014,Seoul,19832
2015,Seoul,20857
2016,Seoul,21295
2017,Seoul,22237
2018,Seoul,23323
2019,Seoul,23978
2020,Seoul,24226
2021,Seoul,24950
2022,Seoul,26112
2002,Busan,9330
2003,Busan,9685
2004,Busan,10164
2005,Busan,10695
2006,Busan,11323
2007,Busan,11855
2008,Busan,12699
2009,Busan,12993
2010,Busan,13605
2011,Busan,14396
2012,Busan,15098
2013,Busan,15651
2014,Busan,16147
2015,Busan,17044
2016,Busan,17525
2017,Busan,18189
2018,Busan,18868
2019,Busan,19723
2020,Busan,20460
2021,Busan,21035
2022,Busan,22577
2002,Daegu,9246
2003,Daegu,9494
2004,Daegu,10052
2005,Daegu,10693
2006,Daegu,11193
2007,Daegu,11503
2008,Daegu,12279
2009,Daegu,12851
2010,Daegu,13446
2011,Daegu,13969
2012,Daegu,14554
2013,Daegu,15320
2014,Daegu,16031
2015,Daegu,17226
2016,Daegu,17848
2017,Daegu,18350
2018,Daegu,18555
2019,Daegu,19196
2020,Daegu,20229
2021,Daegu,20886
2022,Daegu,22368
2002,Incheon,8700
2003,Incheon,9280
2004,Incheon,9937
2005,Incheon,10344
2006,Incheon,10769
2007,Incheon,11151
2008,Incheon,11843
2009,Incheon,12334
2010,Incheon,13214
2011,Incheon,13600
2012,Incheon,14181
2013,Incheon,14829
2014,Incheon,15507
2015,Incheon,16598
2016,Incheon,17222
2017,Incheon,17884
2018,Incheon,18659
2019,Incheon,19582
2020,Incheon,20310
2021,Incheon,21170
2022,Incheon,22406
2002,Gwangju,9011
2003,Gwangju,9610
2004,Gwangju,10103
2005,Gwangju,10865
2006,Gwangju,11389
2007,Gwangju,12137
2008,Gwangju,12902
2009,Gwangju,13298
2010,Gwangju,13439
2011,Gwangju,13815
2012,Gwangju,14662
2013,Gwangju,15454
2014,Gwangju,16225
2015,Gwangju,17459
2016,Gwangju,18232
2017,Gwangju,18926
2018,Gwangju,19868
2019,Gwangju,20791
2020,Gwangju,21591
2021,Gwangju,22209
2022,Gwangju,23669
2002,Daejeon,9288
2003,Daejeon,10072
2004,Daejeon,10563
2005,Daejeon,11133
2006,Daejeon,11755
2007,Daejeon,12339
2008,Daejeon,13070
2009,Daejeon,13701
2010,Daejeon,14373
2011,Daejeon,14992
2012,Daejeon,15537
2013,Daejeon,16253
2014,Daejeon,16946
2015,Daejeon,18229
2016,Daejeon,18741
2017,Daejeon,19314
2018,Daejeon,19649
2019,Daejeon,20648
2020,Daejeon,21707
2021,Daejeon,22565
2022,Daejeon,24220
2002,Ulsan,11896
2003,Ulsan,12603
2004,Ulsan,13422
2005,Ulsan,14129
2006,Ulsan,14426
2007,Ulsan,15502
2008,Ulsan,16438
2009,Ulsan,16950
2010,Ulsan,17634
2011,Ulsan,18594
2012,Ulsan,18941
2013,Ulsan,19782
2014,Ulsan,20142
2015,Ulsan,21348
2016,Ulsan,21422
2017,Ulsan,21956
2018,Ulsan,21655
2019,Ulsan,22617
2020,Ulsan,23863
2021,Ulsan,24897
2022,Ulsan,26066
2002,Sejong,-
2003,Sejong,-
2004,Sejong,-
2005,Sejong,-
2006,Sejong,-
2007,Sejong,-
2008,Sejong,-
2009,Sejong,-
2010,Sejong,-
2011,Sejong,-
2012,Sejong,-
2013,Sejong,17607
2014,Sejong,22944
2015,Sejong,21957
2016,Sejong,21000
2017,Sejong,21404
2018,Sejong,20990
2019,Sejong,20674
2020,Sejong,21407
2021,Sejong,22162
2022,Sejong,23215
