Year,Region,순이동률,전입률,전출률
2012,Gangwon-do,0.0,14.8,14.8
2012,Gyeonggi-do,0.7,16.3,15.6
2012,Gyeongsangnam-do,-0.1,12.6,12.7
2012,Gyeongsangbuk-do,-0.2,12.5,12.7
2012,Gwangju,-0.1,15.7,15.8
2012,Daegu,-0.4,14.0,14.5
2012,Daejeon,0.0,15.9,15.9
2012,Busan,-0.6,13.2,13.7
2012,Seoul,-1.0,15.5,16.5
2012,Sejong,31.2,58.4,27.2
2012,Ulsan,0.4,14.2,13.9
2012,Incheon,1.0,16.8,15.8
2012,Whole country,0.0,14.9,14.9
2012,Jeollanam-do,-0.3,12.6,12.9
2012,,-0.2,14.6,14.8
2012,Jeju,0.8,13.8,13.0
2012,Chungcheongnam-do,0.5,14.0,13.5
2012,Chungcheongbuk-do,0.3,13.7,13.4
2013,Gangwon-do,0.2,14.3,14.1
2013,Gyeonggi-do,0.6,15.7,15.1
2013,Gyeongsangnam-do,0.1,12.9,12.8
2013,Gyeongsangbuk-do,-0.1,12.3,12.3
2013,Gwangju,-0.2,15.5,15.7
2013,Daegu,-0.5,14.2,14.6
2013,Daejeon,0.0,15.2,15.2
2013,Busan,-0.5,13.7,14.2
2013,Seoul,-1.0,15.2,16.2
2013,Sejong,7.4,20.4,12.9
2013,Ulsan,0.2,13.9,13.7
2013,Incheon,0.8,16.3,15.5
2013,Whole country,0.0,14.7,14.7
2013,Jeollanam-do,-0.1,12.9,13.0
2013,,-0.1,13.9,14.0
2013,Jeju,1.3,15.2,13.9
2013,Chungcheongnam-do,0.7,13.9,13.2
2013,Chungcheongbuk-do,0.2,13.9,13.7
2014,Gangwon-do,0.1,14.9,14.8
2014,Gyeonggi-do,0.5,15.5,15.0
2014,Gyeongsangnam-do,0.2,13.9,13.7
2014,Gyeongsangbuk-do,0.0,12.6,12.6
2014,Gwangju,-0.2,16.6,16.8
2014,Daegu,-0.6,14.1,14.8
2014,Daejeon,-0.6,15.7,16.3
2014,Busan,-0.4,13.9,14.4
2014,Seoul,-0.9,15.8,16.7
2014,Sejong,24.2,40.9,16.7
2014,Ulsan,0.2,15.2,15.0
2014,Incheon,0.3,15.8,15.5
2014,Whole country,0.0,15.0,15.0
2014,Jeollanam-do,0.0,13.7,13.8
2014,,-0.1,14.7,14.9
2014,Jeju,1.9,15.5,13.7
2014,Chungcheongnam-do,0.5,14.2,13.7
2014,Chungcheongbuk-do,0.2,13.8,13.6
2015,Gangwon-do,0.3,14.8,14.5
2015,Gyeonggi-do,0.8,16.2,15.4
2015,Gyeongsangnam-do,0.2,13.6,13.5
2015,Gyeongsangbuk-do,0.0,12.8,12.9
2015,Gwangju,-0.6,15.3,16.0
2015,Daegu,-0.5,14.2,14.7
2015,Daejeon,-1.4,14.6,15.9
2015,Busan,-0.4,14.6,15.0
2015,Seoul,-1.4,16.0,17.4
2015,Sejong,29.0,46.0,16.9
2015,Ulsan,0.0,14.6,14.7
2015,Incheon,0.3,16.4,16.1
2015,Whole country,0.0,15.2,15.2
2015,Jeollanam-do,0.2,13.2,13.0
2015,,-0.2,14.1,14.2
2015,Jeju,2.3,16.0,13.6
2015,Chungcheongnam-do,0.5,14.1,13.6
2015,Chungcheongbuk-do,0.1,13.7,13.6
2016,Gangwon-do,0.1,14.5,14.4
2016,Gyeonggi-do,1.1,15.7,14.6
2016,Gyeongsangnam-do,0.1,12.3,12.3
2016,Gyeongsangbuk-do,-0.1,11.8,11.9
2016,Gwangju,-0.5,14.6,15.1
2016,Daegu,-0.4,13.3,13.7
2016,Daejeon,-0.7,14.6,15.3
2016,Busan,-0.6,13.2,13.9
2016,Seoul,-1.4,15.4,16.9
2016,Sejong,13.2,28.8,15.6
2016,Ulsan,-0.7,12.7,13.4
2016,Incheon,0.2,15.2,15.0
2016,Whole country,0.0,14.4,14.4
2016,Jeollanam-do,-0.2,12.4,12.5
2016,,-0.2,13.4,13.6
2016,Jeju,2.3,17.0,14.7
2016,Chungcheongnam-do,0.7,13.8,13.1
2016,Chungcheongbuk-do,0.3,12.9,12.5
2017,Gangwon-do,0.1,13.8,13.6
2017,Gyeonggi-do,0.9,14.9,14.0
2017,Gyeongsangnam-do,0.1,12.3,12.2
2017,Gyeongsangbuk-do,-0.2,11.6,11.8
2017,Gwangju,-0.6,14.3,14.8
2017,Daegu,-0.5,13.1,13.5
2017,Daejeon,-1.1,14.1,15.2
2017,Busan,-0.8,12.7,13.6
2017,Seoul,-1.0,15.1,16.2
2017,Sejong,13.3,31.5,18.2
2017,Ulsan,-1.0,11.6,12.7
2017,Incheon,-0.1,14.0,14.1
2017,Whole country,0.0,14.0,14.0
2017,Jeollanam-do,-0.2,12.1,12.2
