Year,Region,전입률
2012,Gangwon-do,14.8
2012,Gyeonggi-do,16.3
2012,Gyeongsangnam-do,12.6
2012,Gyeongsangbuk-do,12.5
2012,Gwangju,15.7
2012,Daegu,14.0
2012,Daejeon,15.9
2012,Busan,13.2
2012,Seoul,15.5
2012,Sejong,58.4
2012,Ulsan,14.2
2012,Incheon,16.8
2012,Whole country,14.9
2012,Jeollanam-do,12.6
2012,,14.6
2012,Jeju,13.8
2012,Chungcheongnam-do,14.0
2012,Chungcheongbuk-do,13.7
2013,Gangwon-do,14.3
2013,Gyeonggi-do,15.7
2013,Gyeongsangnam-do,12.9
2013,Gyeongsangbuk-do,12.3
2013,Gwangju,15.5
2013,Daegu,14.2
2013,Daejeon,15.2
2013,Busan,13.7
2013,Seoul,15.2
2013,Sejong,20.4
2013,Ulsan,13.9
2013,Incheon,16.3
2013,Whole country,14.7
2013,Jeollanam-do,12.9
2013,,13.9
2013,Jeju,15.2
2013,Chungcheongnam-do,13.9
2013,Chungcheongbuk-do,13.9
2014,Gangwon-do,14.9
2014,Gyeonggi-do,15.5
2014,Gyeongsangnam-do,13.9
2014,Gyeongsangbuk-do,12.6
2014,Gwangju,16.6
2014,Daegu,14.1
2014,Daejeon,15.7
2014,Busan,13.9
2014,Seoul,15.8
2014,Sejong,40.9
2014,Ulsan,15.2
2014,Incheon,15.8
2014,Whole country,15.0
2014,Jeollanam-do,13.7
2014,,14.7
2014,Jeju,15.5
2014,Chungcheongnam-do,14.2
2014,Chungcheongbuk-do,13.8
2015,Gangwon-do,14.8
2015,Gyeonggi-do,16.2
2015,Gyeongsangnam-do,13.6
2015,Gyeongsangbuk-do,12.8
2015,Gwangju,15.3
2015,Daegu,14.2
2015,Daejeon,14.6
2015,Busan,14.6
2015,Seoul,16.0
2015,Sejong,46.0
2015,Ulsan,14.6
2015,Incheon,16.4
2015,Whole country,15.2
2015,Jeollanam-do,13.2
2015,,14.1
2015,Jeju,16.0
2015,Chungcheongnam-do,14.1
2015,Chungcheongbuk-do,13.7
2016,Gangwon-do,14.5
2016,Gyeonggi-do,15.7
2016,Gyeongsangnam-do,12.3
2016,Gyeongsangbuk-do,11.8
2016,Gwangju,14.6
2016,Daegu,13.3
2016,Daejeon,14.6
2016,Busan,13.2
2016,Seoul,15.4
2016,Sejong,28.8
2016,Ulsan,12.7
2016,Incheon,15.2
2016,Whole country,14.4
2016,Jeollanam-do,12.4
2016,,13.4
2016,Jeju,17.0
2016,Chungcheongnam-do,13.8
2016,Chungcheongbuk-do,12.9
2017,Gangwon-do,13.8
2017,Gyeonggi-do,14.9
2017,Gyeongsangnam-do,12.3
2017,Gyeongsangbuk-do,11.6
2017,Gwangju,14.3
2017,Daegu,13.1
2017,Daejeon,14.1
2017,Busan,12.7
2017,Seoul,15.1
2017,Sejong,31.5
2017,Ulsan,11.6
2017,Incheon,14.0
2017,Whole country,14.0
2017,Jeollanam-do,12.1
2017,,12.6
2017,Jeju,16.3
2017,Chungcheongnam-do,13.8
2017,Chungcheongbuk-do,12.5
2018,Gangwon-do,14.1
2018,Gyeonggi-do,15.9
2018,Gyeongsangnam-do,11.6
2018,Gyeongsangbuk-do,11.6
2018,Gwangju,15.1
2018,Daegu,13.1
2018,Daejeon,14.3
2018,Busan,12.2
2018,Seoul,14.9
2018,Sejong,29.2
2018,Ulsan,11.1
2018,Incheon,14.8
2018,Whole country,14.2
2018,Jeollanam-do,12.0
2018,,13.3
2018,Jeju,15.9
2018,Chungcheongnam-do,13.9
2018,Chungcheongbuk-do,13.8
2019,Gangwon-do,14.2
2019,Gyeonggi-do,14.9
2019,Gyeongsangnam-do,11.8
2019,Gyeongsangbuk-do,11.5
2019,Gwangju,15.0
2019,Daegu,12.9
2019,Daejeon,14.4
2019,Busan,12.1
2019,Seoul,14.9
2019,Sejong,25.3
2019,Ulsan,12.4
2019,Incheon,14.3
2019,Whole country,13.8
2019,Jeollanam-do,12.0
2019,,12.6
2019,Jeju,14.3
2019,Chungcheongnam-do,12.3
2019,Chungcheongbuk-do,13.3
2020,Gangwon-do,14.6
2020,Gyeonggi-do,16.3
2020,Gyeongsangnam-do,12.1
2020,Gyeongsangbuk-do,12.1
2020,Gwangju,15.7
2020,Daegu,14.4
2020,Daejeon,15.9
2020,Busan,14.6
2020,Seoul,16.6
2020,Sejong,22.7
2020,Ulsan,12.0
2020,Incheon,15.2
2020,Whole country,15.1
2020,Jeollanam-do,12.9
2020,,13.8
2020,Jeju,14.7
2020,Chungcheongnam-do,13.6
2020,Chungcheongbuk-do,14.5
2021,Gangwon-do,14.2
2021,Gyeonggi-do,15.2
2021,Gyeongsangnam-do,11.3
2021,Gyeongsangbuk-do,12.1
2021,Gwangju,14.8
2021,Daegu,12.8
2021,Daejeon,14.6
2021,Busan,13.2
2021,Seoul,15.0
2021,Sejong,21.2
