"시도별",2022 p),2022 p),2022 p),2022 p)
"시도별",1인당 지역내총생산,1인당 지역총소득,1인당 개인소득,1인당 민간소비
"전국",41948,42563,23388,20078
"서울특별시",51612,57236,26112,24455
"부산광역시",31611,32293,22577,20637
"대구광역시",26736,31056,22368,19903
"인천광역시",35295,37442,22406,18706
"광주광역시",30900,34844,23669,20361
"대전광역시",33682,35848,24220,21065
"울산광역시",77511,60971,26066,21097
"세종특별자치시",37875,41372,23215,18571
"경기도",39969,43635,23136,19307
"강원도",34426,33198,22395,18457
"충청북도",48616,40673,22533,17536
"충청남도",58937,48015,22481,17878
"전라북도",32464,34299,22262,17614
"전라남도",51422,34098,22298,17919
"경상북도",43886,38391,21981,17841
"경상남도",36501,35540,21887,18766
"제주특별자치도",31150,33525,21508,19125
