Year,Region,Death_rate,Divorce_rate,Marriage_rate,Natural_growth_rate,Is_Capital,Is_bigcity
2000,Busan,5.8,2.5,7.5,5.8,False,True
2000,Chungcheongbuk-do,7.3,1.7,6.6,7.7,False,False
2000,Chungcheongnam-do,9.0,2.0,6.5,5.7,False,False
2000,Daegu,5.3,2.0,7.4,9.1,False,True
2000,Daejeon,4.9,2.4,7.5,11.2,False,True
2000,Gangwon-do,8.1,2.3,6.2,6.8,False,False
2000,Gwangju,5.3,1.8,8.1,2.9,False,True
2000,Gyeonggi-do,5.0,2.5,7.6,2.9,True,True
2000,Gyeongsangbuk-do,9.4,1.7,7.1,4.8,False,False
2000,Gyeongsangnam-do,8.1,2.2,8.0,6.9,False,False
2000,Incheon,4.5,2.8,7.1,11.1,True,True
2000,Jeju,6.3,3.0,8.7,2.9,False,False
2000,Jeollabuk-do,8.1,1.9,6.6,6.9,False,False
2000,Jeollanam-do,9.7,2.0,6.7,5.0,False,False
2000,Seoul,4.5,2.1,7.8,10.3,True,True
2000,Ulsan,4.4,1.9,7.5,2.9,False,True
2000,Whole country,6.1,2.3,7.5,9.3,False,False
2000,Busan,4.8,2.7,6.8,7.2,False,True
2000,Chungcheongbuk-do,7.4,2.2,6.4,7.1,False,False
2000,Chungcheongnam-do,7.4,2.1,5.9,7.6,False,False
2000,Daegu,4.9,2.2,7.2,8.6,False,True
2000,Daejeon,4.3,2.8,7.0,11.9,False,True
2000,Gangwon-do,7.3,2.6,5.8,7.2,False,False
2000,Gwangju,4.6,1.9,7.2,2.9,False,True
2000,Gyeonggi-do,4.3,2.8,7.1,2.9,True,True
2000,Gyeongsangbuk-do,8.5,1.8,7.0,6.0,False,False
2000,Gyeongsangnam-do,6.7,2.4,7.7,8.1,False,False
2000,Incheon,4.3,3.3,6.3,11.1,True,True
2000,Jeju,6.1,3.3,10.3,11.8,False,False
2000,Jeollabuk-do,7.6,2.1,6.1,6.8,False,False
2000,Jeollanam-do,9.0,2.2,6.5,4.9,False,False
2000,Seoul,4.0,2.3,6.9,10.5,True,True
2000,Ulsan,4.0,2.7,7.1,2.9,False,True
2000,Whole country,5.4,2.5,7.0,9.7,False,False
2000,Busan,5.0,2.8,6.3,7.2,False,True
2000,Chungcheongbuk-do,6.9,2.3,7.3,7.4,False,False
2000,Chungcheongnam-do,8.2,2.4,7.3,5.8,False,False
2000,Daegu,4.8,2.3,7.0,9.6,False,True
2000,Daejeon,4.4,3.3,8.0,11.4,False,True
2000,Gangwon-do,7.8,2.9,6.7,5.9,False,False
2000,Gwangju,4.3,2.8,8.3,2.9,False,True
2000,Gyeonggi-do,4.4,2.8,8.0,2.9,True,True
2000,Gyeongsangbuk-do,8.0,2.0,7.2,5.9,False,False
2000,Gyeongsangnam-do,6.7,2.5,7.3,8.5,False,False
2000,Incheon,4.3,3.5,7.1,11.1,True,True
2000,Jeju,6.0,2.9,9.1,11.7,False,False
2000,Jeollabuk-do,7.3,2.5,7.4,6.7,False,False
2000,Jeollanam-do,9.0,2.4,7.0,4.3,False,False
2000,Seoul,3.9,2.7,7.8,10.4,True,True
2000,Ulsan,3.8,2.6,7.2,2.9,False,True
2000,Whole country,5.4,2.7,7.6,9.5,False,False
2000,Busan,4.9,2.3,5.5,6.2,False,True
2000,Chungcheongbuk-do,7.1,2.0,7.3,6.3,False,False
2000,Chungcheongnam-do,7.8,1.8,7.6,5.3,False,False
2000,Daegu,4.6,1.7,5.9,8.8,False,True
2000,Daejeon,4.1,2.2,7.2,10.9,False,True
2000,Gangwon-do,7.1,2.3,6.8,5.6,False,False
2000,Gwangju,4.4,2.0,7.7,11.5,False,True
2000,Gyeonggi-do,4.4,2.5,8.2,11.4,True,True
2000,Gyeongsangbuk-do,7.8,1.7,6.1,5.1,False,False
2000,Gyeongsangnam-do,6.5,2.1,5.9,8.0,False,False
2000,Incheon,4.5,2.9,7.5,8.5,True,True
2000,Jeju,5.5,2.8,8.5,9.9,False,False
2000,Jeollabuk-do,7.1,1.8,6.0,5.4,False,False
2000,Jeollanam-do,8.0,1.8,6.6,4.3,False,False
2000,Seoul,3.8,2.3,7.9,9.0,True,True
2000,Ulsan,3.8,2.4,5.9,2.9,False,True
2000,Whole country,5.2,2.2,7.2,8.4,False,False
2000,Busan,4.4,2.7,7.7,6.5,False,True
2000,Chungcheongbuk-do,6.8,2.2,7.7,6.2,False,False
2000,Chungcheongnam-do,7.6,2.1,7.8,4.6,False,False
2000,Daegu,4.4,2.2,8.5,8.7,False,True
2000,Daejeon,4.1,2.9,8.6,9.7,False,True
2000,Gangwon-do,6.7,2.5,8.5,5.5,False,False
2000,Gwangju,4.1,2.1,8.4,10.6,False,True
2000,Gyeonggi-do,4.2,2.8,9.3,10.7,True,True
2000,Gyeongsangbuk-do,7.5,1.8,7.8,5.0,False,False
2000,Gyeongsangnam-do,6.2,2.5,8.5,7.3,False,False
2000,Incheon,3.6,3.3,9.0,9.4,True,True
2000,Jeju,5.2,2.9,9.0,10.8,False,False
2000,Jeollabuk-do,7.2,2.3,7.1,4.9,False,False
2000,Jeollanam-do,7.7,2.1,7.0,3.9,False,False
2000,Seoul,3.5,2.4,9.7,8.9,True,True
2000,Ulsan,3.2,2.6,9.1,11.8,False,True
2000,Whole country,4.9,2.5,8.8,8.1,False,False
2000,Busan,4.3,2.8,6.9,5.1,False,True
2000,Chungcheongbuk-do,6.8,2.3,6.5,5.0,False,False
2000,Chungcheongnam-do,7.4,2.4,6.3,4.1,False,False
2000,Daegu,4.1,2.1,6.9,7.2,False,True
2000,Daejeon,3.9,2.6,7.1,8.6,False,True
2000,Gangwon-do,6.8,2.6,6.9,4.9,False,False
2000,Gwangju,3.7,2.2,7.0,10.1,False,True
2000,Gyeonggi-do,4.0,2.9,8.3,10.1,True,True
2000,Gyeongsangbuk-do,7.2,2.1,6.3,3.5,False,False
2000,Gyeongsangnam-do,6.0,2.7,6.7,5.9,False,False
2000,Incheon,4.0,3.1,7.7,8.5,True,True
2000,Jeju,4.8,3.6,7.3,9.0,False,False
2000,Jeollabuk-do,6.6,2.2,5.2,4.8,False,False
2000,Jeollanam-do,7.9,1.9,5.4,2.9,False,False
2000,Seoul,3.5,2.7,8.5,8.0,True,True
2000,Ulsan,3.4,2.8,7.7,10.1,False,True
2000,Whole country,4.8,2.6,7.4,7.2,False,False
2000,Busan,4.3,2.7,4.5,5.3,False,True
2000,Chungcheongbuk-do,6.1,2.4,4.5,5.6,False,False
2000,Chungcheongnam-do,6.9,2.3,4.3,4.6,False,False
2000,Daegu,4.2,2.1,4.7,7.3,False,True
2000,Daejeon,3.8,2.7,4.6,8.6,False,True
2000,Gangwon-do,6.5,2.5,4.5,4.9,False,False
2000,Gwangju,3.8,1.9,4.9,10.2,False,True
2000,Gyeonggi-do,4.0,2.8,5.5,9.9,True,True
2000,Gyeongsangbuk-do,7.3,1.9,4.0,4.1,False,False
2000,Gyeongsangnam-do,5.8,2.2,4.5,6.0,False,False
2000,Incheon,4.2,3.1,5.2,8.3,True,True
2000,Jeju,5.7,2.9,5.3,8.7,False,False
2000,Jeollabuk-do,6.5,2.0,3.8,4.9,False,False
2000,Jeollanam-do,8.0,2.1,3.9,2.7,False,False
2000,Seoul,3.5,2.5,5.9,7.9,True,True
2000,Ulsan,3.3,2.6,4.4,10.8,False,True
2000,Whole country,4.8,2.5,5.1,7.2,False,False
2000,Busan,4.4,2.8,4.1,5.9,False,True
2000,Chungcheongbuk-do,6.4,2.5,4.3,5.7,False,False
2000,Chungcheongnam-do,7.9,2.4,4.2,3.9,False,False
2000,Daegu,4.2,2.4,4.1,8.1,False,True
2000,Daejeon,4.0,2.7,4.6,9.2,False,True
2000,Gangwon-do,6.5,2.6,4.0,5.0,False,False
2000,Gwangju,3.6,2.5,4.5,10.7,False,True
2000,Gyeonggi-do,4.0,3.0,5.1,10.6,True,True
2000,Gyeongsangbuk-do,7.1,2.4,3.8,4.5,False,False
2000,Gyeongsangnam-do,6.0,2.5,4.1,6.4,False,False
2000,Incheon,4.3,3.5,4.9,8.5,True,True
2000,Jeju,4.8,2.3,4.8,9.7,False,False
2000,Jeollabuk-do,7.0,2.4,3.6,4.5,False,False
2000,Jeollanam-do,7.8,2.5,3.6,3.9,False,False
2000,Seoul,3.7,2.7,5.3,8.4,True,True
2000,Ulsan,3.7,2.6,3.8,10.3,False,True
2000,Whole country,4.9,2.8,4.7,7.6,False,False
2000,Busan,4.7,2.6,3.4,6.4,False,True
2000,Chungcheongbuk-do,6.9,2.2,3.8,5.9,False,False
2000,Chungcheongnam-do,7.4,2.3,4.0,6.0,False,False
2000,Daegu,4.6,2.2,3.0,7.9,False,True
2000,Daejeon,3.9,2.3,4.3,10.4,False,True
2000,Gangwon-do,6.8,2.2,4.1,5.7,False,False
2000,Gwangju,4.6,2.8,4.2,11.8,False,True
2000,Gyeonggi-do,4.3,2.6,4.5,11.3,True,True
2000,Gyeongsangbuk-do,7.5,1.9,3.5,5.0,False,False
2000,Gyeongsangnam-do,6.6,2.3,3.6,6.7,False,False
2000,Incheon,4.3,2.8,4.4,9.7,True,True
2000,Jeju,5.3,2.8,3.4,11.4,False,False
2000,Jeollabuk-do,7.3,2.0,3.1,5.7,False,False
2000,Jeollanam-do,8.6,2.1,3.4,3.6,False,False
2000,Seoul,3.8,2.4,4.4,9.3,True,True
2000,Ulsan,3.8,2.6,3.4,11.5,False,True
2000,Whole country,5.2,2.4,4.1,8.4,False,False
2000,Busan,5.1,2.8,5.5,6.0,False,True
2000,Chungcheongbuk-do,7.0,2.4,6.4,6.2,False,False
2000,Chungcheongnam-do,8.1,2.4,6.4,4.2,False,False
2000,Daegu,4.7,2.2,5.8,8.5,False,True
2000,Daejeon,4.3,2.6,7.2,9.9,False,True
2000,Gangwon-do,7.1,2.5,7.0,4.7,False,False
2000,Gwangju,4.1,2.3,5.9,11.3,False,True
2000,Gyeonggi-do,4.4,2.9,7.6,11.2,True,True
2000,Gyeongsangbuk-do,7.8,2.1,5.7,4.3,False,False
2000,Gyeongsangnam-do,6.9,2.5,5.5,6.9,False,False
2000,Incheon,4.6,3.0,7.1,8.8,True,True
2000,Jeju,6.3,3.6,7.0,9.4,False,False
2000,Jeollabuk-do,7.6,2.1,5.1,4.2,False,False
2000,Jeollanam-do,8.8,2.0,4.7,3.1,False,False
2000,Seoul,4.0,2.7,7.3,9.4,True,True
2000,Ulsan,4.3,2.8,5.8,11.4,False,True
2000,Whole country,5.4,2.6,6.6,8.1,False,False
2000,Busan,5.2,2.7,7.3,5.7,False,True
2000,Chungcheongbuk-do,7.7,2.1,8.1,5.2,False,False
2000,Chungcheongnam-do,8.0,2.4,7.5,4.4,False,False
2000,Daegu,4.4,2.2,7.7,8.6,False,True
2000,Daejeon,4.4,2.7,8.8,9.5,False,True
2000,Gangwon-do,7.2,2.8,8.2,5.1,False,False
2000,Gwangju,4.7,2.3,8.5,10.1,False,True
2000,Gyeonggi-do,4.4,2.8,9.9,11.5,True,True
2000,Gyeongsangbuk-do,8.2,2.0,6.9,4.4,False,False
2000,Gyeongsangnam-do,6.8,2.2,7.3,6.6,False,False
2000,Incheon,4.3,3.1,8.8,8.7,True,True
2000,Jeju,5.4,3.4,8.4,10.9,False,False
2000,Jeollabuk-do,7.2,1.8,6.6,5.1,False,False
2000,Jeollanam-do,9.2,2.1,6.0,2.4,False,False
2000,Seoul,3.9,2.5,9.4,9.2,True,True
2000,Ulsan,3.7,2.4,8.5,11.0,False,True
2000,Whole country,5.4,2.5,8.5,8.0,False,False
2000,Busan,4.9,2.5,7.9,5.0,False,True
2000,Chungcheongbuk-do,6.8,2.4,8.1,5.8,False,False
2000,Chungcheongnam-do,7.7,2.2,7.9,4.9,False,False
2000,Daegu,4.6,1.9,8.5,7.9,False,True
2000,Daejeon,4.4,2.5,9.2,8.9,False,True
2000,Gangwon-do,7.0,2.6,7.6,4.4,False,False
2000,Gwangju,4.5,2.1,9.3,9.6,False,True
2000,Gyeonggi-do,4.2,2.5,10.4,10.3,True,True
2000,Gyeongsangbuk-do,7.9,2.1,7.8,4.0,False,False
2000,Gyeongsangnam-do,6.5,2.0,8.3,6.0,False,False
2000,Incheon,4.2,3.1,9.4,8.6,True,True
2000,Jeju,6.2,3.1,7.8,8.7,False,False
2000,Jeollabuk-do,7.5,2.0,7.5,4.2,False,False
2000,Jeollanam-do,8.5,1.8,6.8,2.8,False,False
2000,Seoul,3.8,2.4,10.8,8.1,True,True
2000,Ulsan,3.8,2.5,9.6,10.0,False,True
2000,Whole country,5.2,2.4,9.3,7.3,False,False
2001,Busan,5.1,2.5,6.4,5.5,False,True
2001,Chungcheongbuk-do,6.7,2.1,6.3,7.8,False,False
2001,Chungcheongnam-do,7.5,2.0,5.4,6.2,False,False
2001,Daegu,4.9,2.0,6.9,8.4,False,True
2001,Daejeon,4.1,2.7,6.4,11.1,False,True
2001,Gangwon-do,6.5,2.4,5.5,7.0,False,False
2001,Gwangju,4.4,2.3,6.7,2.9,False,True
2001,Gyeonggi-do,4.2,2.4,6.9,2.9,True,True
2001,Gyeongsangbuk-do,7.7,2.0,6.4,4.7,False,False
2001,Gyeongsangnam-do,6.4,2.1,7.3,6.9,False,False
2001,Incheon,4.4,2.8,6.3,9.9,True,True
2001,Jeju,5.6,2.5,8.2,9.0,False,False
2001,Jeollabuk-do,7.0,1.9,6.0,7.2,False,False
2001,Jeollanam-do,8.6,1.9,5.5,4.6,False,False
2001,Seoul,3.8,2.2,7.1,9.9,True,True
2001,Ulsan,3.9,2.5,7.0,11.3,False,True
2001,Whole country,5.2,2.3,6.7,8.8,False,False
2001,Busan,5.4,3.2,6.5,5.5,False,True
2001,Chungcheongbuk-do,6.9,3.1,6.3,7.4,False,False
2001,Chungcheongnam-do,7.6,2.5,5.8,5.9,False,False
2001,Daegu,4.7,2.5,6.7,7.6,False,True
2001,Daejeon,4.6,3.2,6.7,9.8,False,True
2001,Gangwon-do,7.0,3.5,5.4,5.3,False,False
2001,Gwangju,4.5,2.6,7.5,10.5,False,True
2001,Gyeonggi-do,4.4,3.3,6.6,11.5,True,True
2001,Gyeongsangbuk-do,8.3,2.4,6.3,4.4,False,False
2001,Gyeongsangnam-do,6.6,2.9,7.0,7.2,False,False
2001,Incheon,4.4,2.3,5.7,9.6,True,True
2001,Jeju,6.1,3.8,8.7,9.7,False,False
2001,Jeollabuk-do,7.4,2.6,5.8,5.7,False,False
2001,Jeollanam-do,9.0,2.4,5.6,3.7,False,False
2001,Seoul,3.8,3.0,6.9,9.0,True,True
2001,Ulsan,3.7,3.2,6.7,11.5,False,True
2001,Whole country,5.4,3.1,6.6,8.2,False,False
2001,Busan,5.3,3.0,5.3,6.0,False,True
2001,Chungcheongbuk-do,6.9,2.8,6.9,6.6,False,False
2001,Chungcheongnam-do,7.8,2.9,6.8,5.2,False,False
