행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 전월인구수,전월 남자인구수,전월 여자인구수,전체 당월인구수,당월 남자인구수,당월 여자인구수,전체 인구증감,남자 인구증감,여자 인구증감
1111051500,2025-03-31,서울특별시,종로구,청운효자동,11007,5007,6000,10986,5007,5979,-21,0,-21
1111053000,2025-03-31,서울특별시,종로구,사직동,8949,3954,4995,8937,3940,4997,-12,-14,2
1111054000,2025-03-31,서울특별시,종로구,삼청동,2200,1058,1142,2189,1049,1140,-11,-9,-2
1111055000,2025-03-31,서울특별시,종로구,부암동,9020,4233,4787,9016,4229,4787,-4,-4,0
1111056000,2025-03-31,서울특별시,종로구,평창동,17254,7992,9262,17233,7998,9235,-21,6,-27
1111057000,2025-03-31,서울특별시,종로구,무악동,7840,3591,4249,7829,3586,4243,-11,-5,-6
1111058000,2025-03-31,서울특별시,종로구,교남동,9502,4355,5147,9512,4355,5157,10,0,10
1111060000,2025-03-31,서울특별시,종로구,가회동,3774,1766,2008,3763,1755,2008,-11,-11,0
1111061500,2025-03-31,서울특별시,종로구,종로1.2.3.4가동,6646,3997,2649,6670,4019,2651,24,22,2
1111063000,2025-03-31,서울특별시,종로구,종로5.6가동,5287,2770,2517,5284,2761,2523,-3,-9,6
1111064000,2025-03-31,서울특별시,종로구,이화동,7000,3264,3736,7018,3262,3756,18,-2,20
1111065000,2025-03-31,서울특별시,종로구,혜화동,15935,7667,8268,15872,7627,8245,-63,-40,-23
1111067000,2025-03-31,서울특별시,종로구,창신제1동,4505,2359,2146,4488,2358,2130,-17,-1,-16
1111068000,2025-03-31,서울특별시,종로구,창신제2동,7295,3754,3541,7278,3746,3532,-17,-8,-9
1111069000,2025-03-31,서울특별시,종로구,창신제3동,6226,3054,3172,6205,3038,3167,-21,-16,-5
1111070000,2025-03-31,서울특별시,종로구,숭인제1동,5733,2776,2957,5738,2770,2968,5,-6,11
1111071000,2025-03-31,서울특별시,종로구,숭인제2동,10104,4934,5170,10166,4950,5216,62,16,46
1114052000,2025-03-31,서울특별시,중구,소공동,2182,1009,1173,2171,1004,1167,-11,-5,-6
1114054000,2025-03-31,서울특별시,중구,회현동,4286,2231,2055,4303,2238,2065,17,7,10
1114055000,2025-03-31,서울특별시,중구,명동,2495,1021,1474,2515,1027,1488,20,6,14
1114057000,2025-03-31,서울특별시,중구,필동,4345,2228,2117,4354,2240,2114,9,12,-3
1114058000,2025-03-31,서울특별시,중구,장충동,4571,2379,2192,4575,2388,2187,4,9,-5
1114059000,2025-03-31,서울특별시,중구,광희동,5754,2833,2921,5731,2808,2923,-23,-25,2
1114060500,2025-03-31,서울특별시,중구,을지로동,3084,1661,1423,3073,1657,1416,-11,-4,-7
1114061500,2025-03-31,서울특별시,중구,신당동,7351,3573,3778,7346,3567,3779,-5,-6,1
1114062500,2025-03-31,서울특별시,중구,다산동,13042,6307,6735,13029,6306,6723,-13,-1,-12
1114063500,2025-03-31,서울특별시,중구,약수동,15883,7300,8583,15841,7302,8539,-42,2,-44
1114064500,2025-03-31,서울특별시,중구,청구동,12086,5660,6426,11871,5555,6316,-215,-105,-110
1114065000,2025-03-31,서울특별시,중구,신당제5동,10058,4884,5174,10067,4877,5190,9,-7,16
1114066500,2025-03-31,서울특별시,중구,동화동,9836,4720,5116,9829,4716,5113,-7,-4,-3
1114067000,2025-03-31,서울특별시,중구,황학동,13115,6166,6949,13106,6167,6939,-9,1,-10
1114068000,2025-03-31,서울특별시,중구,중림동,12031,5861,6170,12039,5882,6157,8,21,-13
1117051000,2025-03-31,서울특별시,용산구,후암동,15734,7549,8185,15757,7545,8212,23,-4,27
1117052000,2025-03-31,서울특별시,용산구,용산2가동,8635,4244,4391,8628,4234,4394,-7,-10,3
1117053000,2025-03-31,서울특별시,용산구,남영동,6728,4106,2622,6718,4102,2616,-10,-4,-6
1117055500,2025-03-31,서울특별시,용산구,청파동,18552,8578,9974,18565,8572,9993,13,-6,19
1117056000,2025-03-31,서울특별시,용산구,원효로제1동,17053,7869,9184,17085,7872,9213,32,3,29
1117057000,2025-03-31,서울특별시,용산구,원효로제2동,13524,6347,7177,13511,6329,7182,-13,-18,5
1117058000,2025-03-31,서울특별시,용산구,효창동,10533,4939,5594,10511,4928,5583,-22,-11,-11
1117059000,2025-03-31,서울특별시,용산구,용문동,11149,5264,5885,11141,5256,5885,-8,-8,0
1117062500,2025-03-31,서울특별시,용산구,한강로동,20844,9855,10989,20821,9842,10979,-23,-13,-10
1117063000,2025-03-31,서울특별시,용산구,이촌제1동,24970,11692,13278,24954,11696,13258,-16,4,-20
1117064000,2025-03-31,서울특별시,용산구,이촌제2동,7730,3615,4115,7718,3621,4097,-12,6,-18
1117065000,2025-03-31,서울특별시,용산구,이태원제1동,5989,2981,3008,6007,2993,3014,18,12,6
1117066000,2025-03-31,서울특별시,용산구,이태원제2동,8510,4047,4463,8499,4036,4463,-11,-11,0
1117068500,2025-03-31,서울특별시,용산구,한남동,14033,6614,7419,13999,6587,7412,-34,-27,-7
1117069000,2025-03-31,서울특별시,용산구,서빙고동,12389,5971,6418,12369,5957,6412,-20,-14,-6
1117070000,2025-03-31,서울특별시,용산구,보광동,7177,3593,3584,7122,3567,3555,-55,-26,-29
1120052000,2025-03-31,서울특별시,성동구,왕십리제2동,15897,7617,8280,15894,7602,8292,-3,-15,12
1120053500,2025-03-31,서울특별시,성동구,왕십리도선동,26001,12208,13793,25975,12202,13773,-26,-6,-20
